route_id,route_name,stop_sequence,stop_id,stop_name,lat,lng
R2295986,Sundhara-Shankhamul,10,S0086,Tourism Board Stop,27.702332,85.3168
R2295986,Sundhara-Shankhamul,11,S0198,Purano Bus Park,27.703654,85.316517
R2295986,Sundhara-Shankhamul,12,S0013,Ratna Park,27.706705,85.315249
R2295986,Sundhara-Shankhamul,13,S0171,Bir Hospital,27.705723,85.314074
R2295986,Sundhara-Shankhamul,14,S0100,RNAC stop,27.70221,85.313638
R2295986,Sundhara-Shankhamul,15,S0076,Sundhara Stop,27.700542,85.313503
R2301161,MAV School-Purano Buspark,1,S0101,MAV School,27.657068,85.326288
R2301161,MAV School-Purano Buspark,2,S0011,Satdobato Chowk Stop,27.6656,85.3283
R2301161,MAV School-Purano Buspark,3,S0219,Lagankhel,27.662461,85.323946
R2301161,MAV School-Purano Buspark,4,S0194,Batuk Bhairav,27.664475,85.324003
R2301161,MAV School-Purano Buspark,5,S0112,Lagankhel Stop,27.6668,85.3219
R2301161,MAV School-Purano Buspark,6,S0223,Lalitpur Industrial Estate,27.667312,85.322256
R2301161,MAV School-Purano Buspark,7,S0155,Patan Hospital,27.668489,85.321642
R2301161,MAV School-Purano Buspark,8,S0213,Kumaripati,27.67084,85.320098
R2301161,MAV School-Purano Buspark,9,S0103,Jawlakhel Stop,27.672577,85.314174
R2301161,MAV School-Purano Buspark,10,S0116,Damkal,27.675796,85.315747
R2301161,MAV School-Purano Buspark,11,S0142,UN Stop,27.678104,85.316327
R2301161,MAV School-Purano Buspark,12,S0168,Jwagal,27.685593,85.318106
R2301161,MAV School-Purano Buspark,13,S0063,Kupondole stop,27.688005,85.316248
R2301161,MAV School-Purano Buspark,14,S0185,Thapathali,27.691767,85.318016
R2301161,MAV School-Purano Buspark,15,S0132,Maitighar Stop--South,27.694112,85.319308
R2301161,MAV School-Purano Buspark,16,S0036,Singha Durbar West Stop,27.69659,85.321228
R2301161,MAV School-Purano Buspark,17,S0088,Bhadrakali,27.699352,85.317713
R2301161,MAV School-Purano Buspark,18,S0067,Shahid Gate,27.699685,85.314748
R2301161,MAV School-Purano Buspark,19,S0076,Sundhara Stop,27.700542,85.313503
R2301161,MAV School-Purano Buspark,20,S0100,RNAC stop,27.70221,85.313638
R2301161,MAV School-Purano Buspark,21,S0171,Bir Hospital,27.705723,85.314074
R2301161,MAV School-Purano Buspark,22,S0166,Kantipath,27.708912,85.314607
R2301161,MAV School-Purano Buspark,23,S0152,Jamal,27.708829,85.315292
R2301161,MAV School-Purano Buspark,24,S0137,Ghantaghar (घण्टाघर) stop,27.708043,85.317116
R2301161,MAV School-Purano Buspark,25,S0198,Purano Bus Park,27.703654,85.316517
R2301205,Purano Bus Park-Shivapuri,1,S0198,Purano Bus Park,27.703654,85.316517
R2301205,Purano Bus Park-Shivapuri,2,S0086,Tourism Board Stop,27.702332,85.3168
R2301205,Purano Bus Park-Shivapuri,3,S0067,Shahid Gate,27.699685,85.314748
R2301205,Purano Bus Park-Shivapuri,4,S0076,Sundhara Stop,27.700542,85.313503
R2301205,Purano Bus Park-Shivapuri,5,S0100,RNAC stop,27.70221,85.313638
R2301205,Purano Bus Park-Shivapuri,6,S0171,Bir Hospital,27.705723,85.314074
R2301205,Purano Bus Park-Shivapuri,7,S0166,Kantipath,27.708912,85.314607
R2301205,Purano Bus Park-Shivapuri,8,S0152,Jamal,27.708829,85.315292
R2301205,Purano Bus Park-Shivapuri,9,S0193,Lainchour Chowk Bus Stop,27.717048,85.316046
R2301205,Purano Bus Park-Shivapuri,10,S0087,Lainchaur stop,27.718757,85.317697
R2301205,Purano Bus Park-Shivapuri,11,S0149,Lazimpat stop,27.722523,85.320924
