route_id,stop_id,sequence_no,stop_name
R2294152,S0103,16,Jawlakhel Stop
R2294152,S0213,17,Kumaripati
R2294152,S0155,18,Patan Hospital
R2294152,S0112,19,Lagankhel Stop
R2294152,S0223,20,Lalitpur Industrial Estate
R2295734,S0013,1,Ratna Park
R2295734,S0166,2,Kantipath
R2295734,S0152,3,Jamal
R2295734,S0193,4,Lainchour Chowk Bus Stop
R2295734,S0087,5,Lainchaur stop
R2295734,S0149,6,Lazimpat stop
R2295734,S0437,7,Lazimpat stop - Panipokhari stop Link
R2295734,S0082,8,Panipokhari stop
R2295734,S0124,9,Teaching Hospital stop
R2295734,S0030,10,Chakrapath Stop-- South
R2295734,S0044,11,Narayan Gopal Chowk
R2295734,S0158,12,Bansbari stop
R2295734,S0231,13,Golfutar stop
R2295734,S0038,14,Deuba Chowk stop
R2295734,S0096,15,Budhanilkantha Micro Stand
R2295734,S0176,16,Budhanilkantha Stop
R2295734,S0143,17,Budhanilkantha School Blue Micro Stand
R2295768,S0013,1,Ratna Park
R2295768,S0198,2,Purano Bus Park
R2295768,S0086,3,Tourism Board Stop
R2295768,S0088,4,Bhadrakali
R2295768,S0036,5,Singha Durbar West Stop
R2295768,S0097,6,Maitighar
R2295768,S0132,6,Maitighar Stop--South
R2295768,S0185,7,Thapathali
R2295768,S0063,8,Kupondole stop
R2295768,S0168,9,Jwagal
R2295768,S0142,10,UN Stop
R2295768,S0058,11,Natole
R2295768,S0226,12,Gahabahal
R2295768,S0227,13,Mahapal
R2295768,S0154,14,Mangalbazar
R2295902,S0076,1,Sundhara Stop
R2295902,S0067,2,Shahid Gate
R2295902,S0086,2,Tourism Board Stop
R2295902,S0066,3,Bhrikuti Mandap Stop
R2295902,S0102,4,New Plaza Stop
R2295902,S0196,5,Anamnagar Stop
R2295902,S0209,6,Singha Durbar East Stop
R2295902,S0015,7,Hanumanthan Stop
R2295902,S0033,8,Bijulibazar Stop
R2295902,S0108,9,Thapagaun Stop
R2295902,S0075,10,New Baneshwor West
R2295902,S0167,11,ShivaDarshan Hall Stop
R2295902,S0091,12,Naya Baneshwor Tempo Stop
R2295902,S0180,12,Sangam Chowk Stop
R2295902,S0115,13,Milan Chowk Stop
R2295902,S0006,14,KattyaniChowk Stop
R2295903,S0076,1,Sundhara Stop
R2295903,S0100,2,RNAC stop
R2295903,S0171,3,Bir Hospital
R2295903,S0013,4,Ratna Park
R2295903,S0198,5,Purano Bus Park
R2295903,S0086,6,Tourism Board Stop
R2295903,S0066,7,Bhrikuti Mandap Stop
R2295903,S0102,7,New Plaza Stop
R2295903,S0196,8,Anamnagar Stop
R2295903,S0209,9,Singha Durbar East Stop
R2295903,S0015,10,Hanumanthan Stop
R2295903,S0033,11,Bijulibazar Stop
R2295903,S0108,12,Thapagaun Stop
R2295903,S0075,13,New Baneshwor West
R2295903,S0167,14,ShivaDarshan Hall Stop
R2295903,S0091,15,Naya Baneshwor Tempo Stop
R2295903,S0180,15,Sangam Chowk Stop
R2295903,S0115,16,Milan Chowk Stop
R2295903,S0006,17,KattyaniChowk Stop
R2295941,S0076,1,Sundhara Stop
R2295941,S0067,2,Shahid Gate
R2295941,S0086,3,Tourism Board Stop
R2295941,S0066,4,Bhrikuti Mandap Stop
R2295941,S0102,4,New Plaza Stop
R2295941,S0196,5,Anamnagar Stop
R2295941,S0209,6,Singha Durbar East Stop
R2295941,S0015,7,Hanumanthan Stop
R2295941,S0033,8,Bijulibazar Stop
R2295941,S0108,9,Thapagaun Stop
R2295941,S0075,10,New Baneshwor West
R2295941,S0167,11,ShivaDarshan Hall Stop
R2295941,S0091,12,Naya Baneshwor Tempo Stop
R2295941,S0059,12,SchEMS
R2295941,S0205,13,Ratna Rajya Stop
R2295942,S0076,1,Sundhara Stop
R2295942,S0100,2,RNAC stop
R2295942,S0171,3,Bir Hospital
R2295942,S0013,4,Ratna Park
R2295942,S0198,5,Purano Bus Park
R2295942,S0086,6,Tourism Board Stop
R2295942,S0066,7,Bhrikuti Mandap Stop
R2295942,S0102,7,New Plaza Stop
R2295942,S0196,8,Anamnagar Stop
R2295942,S0209,9,Singha Durbar East Stop
R2295942,S0015,10,Hanumanthan Stop
R2295942,S0033,11,Bijulibazar Stop
R2295942,S0108,12,Thapagaun Stop
R2295942,S0075,13,New Baneshwor West
R2295942,S0167,14,ShivaDarshan Hall Stop
R2295942,S0091,15,Naya Baneshwor Tempo Stop
R2295942,S0059,15,SchEMS
R2295942,S0205,16,Ratna Rajya Stop
R2295942,S0077,17,Apex College Stop
R2295942,S0046,18,Tempo Stop Near Old Baneshwar
R2295974,S0198,1,Purano Bus Park
R2295974,S0086,2,Tourism Board Stop
R2295974,S0088,3,Bhadrakali
R2295974,S0036,4,Singha Durbar West Stop
R2295974,S0097,5,Maitighar
R2295974,S0132,6,Maitighar Stop--South
R2295974,S0185,7,Thapathali
R2295974,S0063,8,Kupondole stop
R2295974,S0168,9,Jwagal
R2295974,S0142,10,UN Stop
R2295974,S0116,11,Damkal
R2295974,S0175,12,Jawalakhel
R2295974,S0103,12,Jawlakhel Stop
R2295974,S0213,13,Kumaripati
R2295974,S0155,14,Patan Hospital
R2295974,S0112,15,Lagankhel Stop
R2295974,S0223,16,Lalitpur Industrial Estate
R2295974,S0219,17,Lagankhel
R2295974,S0194,18,Batuk Bhairav
R2295974,S0011,19,Satdobato Chowk Stop
R2295974,S0216,20,Thecho
R2295974,S0060,21,Chapagaun
R2295974,S0037,23,Tika Bhairab
R2295986,S0018,1,Sankhamul Stop
R2295986,S0074,2,नयाँ बानेश्वर
R2295986,S0114,3,Baneshwor Bus Station
R2295986,S0062,3,Babarmahal Stop East
R2295986,S0069,4,Naya Baneshwor Tampoo Station
R2295986,S0034,4,Buddhanagar Stop
R2295986,S0097,5,Maitighar
